Date,Open,High,Low,Close,Adj Close,Volume
2017-10-27,256.470001,257.890015,255.630005,257.709991,231.166214,85562500
2017-10-30,256.470001,257.600006,256.410004,256.75,230.305115,54285700
2017-10-31,257.179993,257.440002,256.809998,257.149994,230.66391,60304800
2017-11-01,258.040009,258.429993,257.070007,257.48999,230.968872,54202700
2017-11-02,257.410004,257.75,256.190002,257.589996,231.058624,56449500
2017-11-03,257.769989,258.5,257.299988,258.450012,231.830063,59589700
2017-11-06,258.299988,259.0,258.220001,258.850006,232.188843,49652600
2017-11-07,258.970001,259.350006,258.089996,258.670013,232.027374,57502200
2017-11-08,258.470001,259.220001,258.149994,259.109985,232.422043,50469600
2017-11-09,257.730011,258.390015,256.359985,258.170013,231.578873,95085500
2017-11-10,257.730011,258.290009,257.369995,258.089996,231.50708,59984700
2017-11-13,257.309998,258.589996,257.269989,258.329987,231.722321,50228600
2017-11-14,257.410004,257.850006,256.519989,257.730011,231.184189,61315200
2017-11-15,256.619995,257.220001,255.630005,256.440002,230.027069,80811500
2017-11-16,257.519989,259.040009,257.470001,258.619995,231.982529,67777000
2017-11-17,258.220001,258.589996,257.769989,257.859985,231.300781,75756800
2017-11-20,258.140015,258.519989,257.859985,258.299988,231.69545,48075500
2017-11-21,259.179993,260.200012,258.26001,259.98999,233.211365,69176800
2017-11-22,260.0,260.149994,259.570007,259.76001,233.005066,45033400
2017-11-24,260.320007,260.480011,260.160004,260.359985,233.543259,27856500
2017-11-27,260.410004,260.75,260.0,260.230011,233.426651,52274900
2017-11-28,260.76001,262.899994,260.649994,262.869995,235.794769,98971700
2017-11-29,263.019989,263.630005,262.200012,262.709991,235.651245,77512100
2017-11-30,263.76001,266.049988,263.670013,265.01001,237.714371,127894400
2017-12-01,264.76001,265.309998,260.76001,264.459991,237.220978,164390900
2017-12-04,266.309998,266.799988,264.079987,264.140015,236.93396,94040600
2017-12-05,263.190002,265.149994,263.040009,263.190002,236.081879,77994500
2017-12-06,263.299988,263.730011,262.709991,263.23999,236.126678,75898600
2017-12-07,264.070007,264.429993,262.940002,264.070007,236.87117,77218600
2017-12-08,265.160004,265.519989,264.029999,265.51001,238.162796,76563900
2017-12-11,266.309998,266.380005,265.480011,266.309998,238.880386,83077500
2017-12-12,267.209991,267.320007,266.350006,266.779999,239.302078,85195800
2017-12-13,267.059998,267.559998,266.649994,266.75,239.275146,102905400
2017-12-14,267.089996,267.220001,265.600006,265.660004,238.29744,100666700
